#id,name,parent_id,wikipedia_url
1,'Arts',15,'http://en.wikipedia.org/wiki/Arts'
2,'Business',92,'http://en.wikipedia.org/wiki/Business'
2,'Business',15,'http://en.wikipedia.org/wiki/Business'
3,'Computers',15,'http://en.wikipedia.org/wiki/Computer'
7,'Recreation',15,'http://en.wikipedia.org/wiki/Recreation'
9,'Regional',15,NULL
10,'Science',15,'http://en.wikipedia.org/wiki/Science'
11,'Society',15,'http://en.wikipedia.org/wiki/Society'
13,'Computer Science',10,'http://en.wikipedia.org/wiki/Computer_science'
13,'Computer Science',3,'http://en.wikipedia.org/wiki/Computer_science'
13,'Computer Science',15,'http://en.wikipedia.org/wiki/Computer_science'
15,'Top',NULL,NULL
16,'Machine Learning',13,'http://en.wikipedia.org/wiki/Machine_learning'
17,'Kernel Methods',16,'http://en.wikipedia.org/wiki/Kernel_methods'
18,'Support Vector Machines',17,'http://en.wikipedia.org/wiki/Support_vector_machine'
19,'Bioinformatics',83,'http://en.wikipedia.org/wiki/Bioinformatics'
19,'Bioinformatics',13,'http://en.wikipedia.org/wiki/Bioinformatics'
20,'Boosting',16,'http://en.wikipedia.org/wiki/Boosting'
21,'Fuzzy Logic',13,'http://en.wikipedia.org/wiki/Fuzzy_logic'
22,'Programming',3,'http://en.wikipedia.org/wiki/Computer_programming'
23,'Mathematics',15,'http://en.wikipedia.org/wiki/Mathematics'
25,'Reinforcement Learning',16,'http://en.wikipedia.org/wiki/Reinforcement_learning'
26,'Music',1,'http://en.wikipedia.org/wiki/Music'
27,'Semantic Web',13,'http://en.wikipedia.org/wiki/Semantic_web'
28,'Network Analysis',55,'http://en.wikipedia.org/wiki/Network_analysis'
28,'Network Analysis',13,'http://en.wikipedia.org/wiki/Network_analysis'
29,'Clustering',16,'http://en.wikipedia.org/wiki/Cluster_analysis'
30,'Poetry',1,'http://en.wikipedia.org/wiki/Poetry'
31,'Visual arts',1,'http://en.wikipedia.org/wiki/Visual_arts'
32,'Sustainable Development',65,NULL
33,'Statistical Learning',16,NULL
34,'Bayesian Learning',16,NULL
35,'Pattern Recognition',16,'http://en.wikipedia.org/wiki/Pattern_recognition'
36,'Data Mining',13,'http://en.wikipedia.org/wiki/Data_mining'
37,'Text Mining',13,'http://en.wikipedia.org/wiki/Text_mining'
38,'Information Retrieval',13,'http://en.wikipedia.org/wiki/Information_retrieval'
39,'Cryptography and Security',13,'http://en.wikipedia.org/wiki/Cryptography'
40,'Image Analysis',13,'http://en.wikipedia.org/wiki/Image_analysis'
